year	month	day	blockNum	chosenRes	colorIncr	colrDistPres	colrTargPres	colrTargTime	cueCond	fixBreak	nResps	respCorrect	respOrder	tFixBreak	tPostCue	tRes	targCategory	targSide	targTime	targTimeDistSideCatg	targTimeDistSideToken	targTimeTargSideCatg	targTimeTargSideToken	trial	trialDone	trialFixX	trialFixY	whichTask	wordDistPres	wordDur	wordTargPres	wordTargTime	targPres	distPres	subjectNum	dateNum	thisBlockAccuracy	tFixBreakFromRSVPStart	congruent	RT	reportedPresence	reportedRating	excludeBlock_BadDifficulty	
2016.000000	6.000000	16.000000	1.000000	4.000000	0.103704	1.000000	0.000000	5.000000	1.000000	0.000000	1.000000	1.000000	1.000000	NaN	2.591947	3.580256	4.000000	1.000000	4.000000	33.000000	4.000000	24.000000	4.000000	1.000000	1.000000	402.000000	307.000000	1.000000	1.000000	0.058366	1.000000	4.000000	1.000000	1.000000	5.000000	1.000000	0.812500	NaN	1.000000	0.988308	1.000000	2.000000	0.000000	
2016.000000	6.000000	16.000000	1.000000	NaN	0.103704	0.000000	0.000000	5.000000	1.000000	1.000000	1.000000	NaN	1.000000	1.307325	NaN	2.073399	4.000000	1.000000	2.000000	7.000000	2.000000	7.000000	12.000000	2.000000	0.000000	412.000000	288.000000	1.000000	0.000000	0.058366	0.000000	2.000000	0.000000	0.000000	5.000000	1.000000	0.812500	-0.568739	1.000000	NaN	0.000000	NaN	0.000000	
2016.000000	6.000000	16.000000	1.000000	NaN	0.103704	0.000000	0.000000	5.000000	1.000000	1.000000	1.000000	NaN	1.000000	1.526498	NaN	2.281910	4.000000	1.000000	2.000000	11.000000	12.000000	12.000000	4.000000	3.000000	0.000000	382.000000	303.000000	1.000000	0.000000	0.058366	1.000000	2.000000	1.000000	0.000000	5.000000	1.000000	0.812500	-0.349566	0.000000	NaN	0.000000	NaN	0.000000	
2016.000000	6.000000	16.000000	1.000000	4.000000	0.103704	0.000000	1.000000	3.000000	1.000000	0.000000	1.000000	1.000000	1.000000	NaN	2.600232	3.569323	4.000000	1.000000	3.000000	35.000000	4.000000	34.000000	4.000000	4.000000	1.000000	395.000000	280.000000	1.000000	1.000000	0.058366	1.000000	3.000000	1.000000	1.000000	5.000000	1.000000	0.812500	NaN	1.000000	0.969090	1.000000	2.000000	0.000000	
2016.000000	6.000000	16.000000	1.000000	4.000000	0.103704	0.000000	1.000000	4.000000	1.000000	0.000000	1.000000	1.000000	1.000000	NaN	2.591896	3.633718	4.000000	1.000000	5.000000	19.000000	4.000000	28.000000	4.000000	5.000000	1.000000	400.000000	268.000000	1.000000	1.000000	0.058366	1.000000	5.000000	1.000000	1.000000	5.000000	1.000000	0.812500	NaN	1.000000	1.041822	1.000000	2.000000	0.000000	
2016.000000	6.000000	16.000000	1.000000	4.000000	0.103704	1.000000	1.000000	2.000000	1.000000	0.000000	1.000000	1.000000	1.000000	NaN	2.591894	3.540303	4.000000	1.000000	6.000000	23.000000	9.000000	13.000000	4.000000	6.000000	1.000000	405.000000	265.000000	1.000000	0.000000	0.058366	1.000000	6.000000	1.000000	0.000000	5.000000	1.000000	0.812500	NaN	0.000000	0.948409	1.000000	2.000000	0.000000	
2016.000000	6.000000	16.000000	1.000000	1.000000	0.103704	0.000000	1.000000	4.000000	1.000000	0.000000	1.000000	0.000000	1.000000	NaN	2.600228	3.602863	4.000000	1.000000	3.000000	20.000000	12.000000	21.000000	4.000000	7.000000	1.000000	404.000000	274.000000	1.000000	0.000000	0.058366	1.000000	3.000000	1.000000	0.000000	5.000000	1.000000	0.812500	NaN	0.000000	1.002635	0.000000	-2.000000	0.000000	
2016.000000	6.000000	16.000000	1.000000	NaN	0.103704	0.000000	0.000000	6.000000	1.000000	1.000000	1.000000	NaN	1.000000	1.761819	NaN	2.423613	4.000000	1.000000	5.000000	14.000000	4.000000	3.000000	4.000000	8.000000	0.000000	413.000000	253.000000	1.000000	1.000000	0.058366	1.000000	5.000000	1.000000	1.000000	5.000000	1.000000	0.812500	-0.114244	1.000000	NaN	0.000000	NaN	0.000000	
2016.000000	6.000000	16.000000	1.000000	4.000000	0.103704	0.000000	0.000000	5.000000	1.000000	0.000000	1.000000	1.000000	1.000000	NaN	2.591896	3.532021	4.000000	1.000000	6.000000	21.000000	4.000000	17.000000	4.000000	9.000000	1.000000	400.000000	266.000000	1.000000	1.000000	0.058366	1.000000	6.000000	1.000000	1.000000	5.000000	1.000000	0.812500	NaN	1.000000	0.940125	1.000000	2.000000	0.000000	
2016.000000	6.000000	16.000000	1.000000	NaN	0.103704	0.000000	1.000000	4.000000	1.000000	1.000000	1.000000	NaN	1.000000	1.284140	NaN	1.996272	4.000000	1.000000	6.000000	2.000000	2.000000	18.000000	12.000000	10.000000	0.000000	401.000000	268.000000	1.000000	0.000000	0.058366	0.000000	6.000000	0.000000	0.000000	5.000000	1.000000	0.812500	-0.591923	1.000000	NaN	0.000000	NaN	0.000000	
2016.000000	6.000000	16.000000	1.000000	2.000000	0.103704	1.000000	0.000000	4.000000	1.000000	0.000000	1.000000	1.000000	1.000000	NaN	2.591948	3.942748	4.000000	1.000000	4.000000	13.000000	6.000000	33.000000	5.000000	11.000000	1.000000	400.000000	265.000000	1.000000	0.000000	0.058366	0.000000	4.000000	0.000000	0.000000	5.000000	1.000000	0.812500	NaN	1.000000	1.350800	0.000000	-1.000000	0.000000	
