year	month	day	blockNum	chosenRes	colorIncr	colrDistPres	colrTargPres	colrTargTime	cueCond	fixBreak	nResps	respCorrect	respOrder	tFixBreak	tPostCue	tRes	targCategory	targSide	targTime	targTimeDistSideCatg	targTimeDistSideToken	targTimeTargSideCatg	targTimeTargSideToken	trial	trialDone	trialFixX	trialFixY	whichTask	wordDistPres	wordDur	wordTargPres	wordTargTime	targPres	distPres	subjectNum	dateNum	thisBlockAccuracy	tFixBreakFromRSVPStart	congruent	RT	reportedPresence	reportedRating	excludeBlock_BadDifficulty	
2016.000000	7.000000	5.000000	1.000000	4.000000	0.088889	0.000000	1.000000	3.000000	0.000000	0.000000	2.000000	1.000000	1.000000	NaN	3.500358	7.596932	8.000000	1.000000	3.000000	11.000000	8.000000	13.000000	3.000000	1.000000	1.000000	403.000000	315.000000	2.000000	1.000000	0.125053	0.000000	6.000000	1.000000	0.000000	8.000000	1.000000	0.906250	NaN	0.000000	4.096575	1.000000	2.000000	1.000000	
2016.000000	7.000000	5.000000	1.000000	6.000000	0.088889	0.000000	1.000000	3.000000	0.000000	0.000000	2.000000	1.000000	2.000000	NaN	5.742224	7.596932	8.000000	2.000000	3.000000	11.000000	8.000000	13.000000	3.000000	1.000000	1.000000	403.000000	315.000000	2.000000	1.000000	0.125053	0.000000	6.000000	0.000000	1.000000	8.000000	1.000000	0.906250	NaN	0.000000	1.854708	0.000000	-1.000000	1.000000	
2016.000000	7.000000	5.000000	1.000000	1.000000	0.088889	1.000000	1.000000	4.000000	0.000000	0.000000	2.000000	0.000000	1.000000	NaN	3.391968	6.597388	8.000000	1.000000	4.000000	25.000000	11.000000	5.000000	8.000000	2.000000	1.000000	405.000000	305.000000	2.000000	0.000000	0.125053	1.000000	5.000000	1.000000	1.000000	8.000000	1.000000	0.906250	NaN	1.000000	3.205420	0.000000	-2.000000	1.000000	
2016.000000	7.000000	5.000000	1.000000	5.000000	0.088889	1.000000	1.000000	4.000000	0.000000	0.000000	2.000000	0.000000	2.000000	NaN	5.367140	6.597388	8.000000	2.000000	4.000000	25.000000	11.000000	5.000000	8.000000	2.000000	1.000000	405.000000	305.000000	2.000000	0.000000	0.125053	1.000000	5.000000	1.000000	1.000000	8.000000	1.000000	0.906250	NaN	1.000000	1.230248	0.000000	-2.000000	1.000000	
2016.000000	7.000000	5.000000	1.000000	5.000000	0.088889	1.000000	0.000000	6.000000	0.000000	0.000000	2.000000	1.000000	1.000000	NaN	3.391914	6.643728	8.000000	2.000000	6.000000	14.000000	8.000000	18.000000	8.000000	3.000000	1.000000	414.000000	287.000000	2.000000	1.000000	0.125053	1.000000	2.000000	0.000000	1.000000	8.000000	1.000000	0.906250	NaN	0.000000	3.251813	0.000000	-2.000000	1.000000	
2016.000000	7.000000	5.000000	1.000000	4.000000	0.088889	1.000000	0.000000	6.000000	0.000000	0.000000	2.000000	1.000000	2.000000	NaN	5.808894	6.643728	8.000000	1.000000	6.000000	14.000000	8.000000	18.000000	8.000000	3.000000	1.000000	414.000000	287.000000	2.000000	1.000000	0.125053	1.000000	2.000000	1.000000	0.000000	8.000000	1.000000	0.906250	NaN	0.000000	0.834834	1.000000	2.000000	1.000000	
2016.000000	7.000000	5.000000	1.000000	8.000000	0.088889	0.000000	1.000000	2.000000	0.000000	0.000000	2.000000	1.000000	1.000000	NaN	3.391965	6.610267	8.000000	2.000000	2.000000	23.000000	5.000000	9.000000	6.000000	4.000000	1.000000	411.000000	296.000000	2.000000	0.000000	0.125053	0.000000	4.000000	1.000000	0.000000	8.000000	1.000000	0.906250	NaN	0.000000	3.218303	1.000000	2.000000	1.000000	
2016.000000	7.000000	5.000000	1.000000	2.000000	0.088889	0.000000	1.000000	2.000000	0.000000	0.000000	2.000000	1.000000	2.000000	NaN	5.433762	6.610267	8.000000	1.000000	2.000000	23.000000	5.000000	9.000000	6.000000	4.000000	1.000000	411.000000	296.000000	2.000000	0.000000	0.125053	0.000000	4.000000	0.000000	1.000000	8.000000	1.000000	0.906250	NaN	0.000000	1.176506	0.000000	-1.000000	1.000000	
2016.000000	7.000000	5.000000	1.000000	6.000000	0.088889	1.000000	0.000000	2.000000	0.000000	0.000000	2.000000	1.000000	1.000000	NaN	3.391968	6.996126	8.000000	2.000000	2.000000	20.000000	8.000000	5.000000	5.000000	5.000000	1.000000	418.000000	288.000000	2.000000	1.000000	0.125053	0.000000	5.000000	0.000000	1.000000	8.000000	1.000000	0.906250	NaN	0.000000	3.604158	0.000000	-1.000000	1.000000	
2016.000000	7.000000	5.000000	1.000000	3.000000	0.088889	1.000000	0.000000	2.000000	0.000000	0.000000	2.000000	1.000000	2.000000	NaN	5.817180	6.996126	8.000000	1.000000	2.000000	20.000000	8.000000	5.000000	5.000000	5.000000	1.000000	418.000000	288.000000	2.000000	1.000000	0.125053	0.000000	5.000000	1.000000	0.000000	8.000000	1.000000	0.906250	NaN	0.000000	1.178946	1.000000	1.000000	1.000000	
